Checkpoint,D,A,CEO_action,asa_shift,asa_cost,E[L_board],E[L_market],E[L_ceo],E[U_ASA],P(strike1),P(strike2),P(spill),P(revolt),P(CEO resign),P(CEO sacked),Mean CAR,Mean exit,E[impl_cost],E[car_penalty],E[strike1_penalty],E[revolt_penalty],E[exit_penalty],E[strike2_penalty],E[spill_penalty],E[switch_cost],E[ceo_agency],Mean B_mkt_agm,strike_count,prev_action
C0,D3 CEO transition,DoNothing,Stay,0.0,0.0,3.7680262584377044,0.9245516779169395,1.1695164673549994,0.0918,0.0459,0.0,0.0,0.0041,0.76615,0.08295,0.019655618664111797,1.3676682995988545,0.7000000000000001,0.030065869419997233,0.1836,0.01025,0.0006358084969423085,0.0,0.0,0.0,0.812,-1.4659193935615022,0,
C0,D3 CEO transition,DoNothing,Resign,0.0,0.0,3.722925047877734,0.7887417305036454,1.1528429393265447,0.0369,0.01845,0.0,0.0,0.00135,1.0,0.0,0.022833412306490587,1.4814496867214852,0.7000000000000001,0.011371757306178,0.0738,0.003375,0.00019497319746739552,0.0,0.0,0.0,0.7999999999999999,-1.4653109215645344,0,
C0,D3 CEO transition,RecommendStrike,Stay,0.5,0.3,3.8652884429108,1.2558345905477344,1.1662223640727094,-0.043299999999999984,0.12835,0.0,0.0,0.0041,0.7638,0.0822,0.019533643012139765,1.3710805516554117,0.7000000000000001,0.031609456290836856,0.5134,0.01025,0.0005751342568976443,0.0,0.0,0.0,0.8083199999999999,-1.468744967515751,0,
C0,D3 CEO transition,RecommendStrike,Resign,0.5,0.3,3.7614540184287906,0.996838691238388,1.152887826836099,-0.15869999999999998,0.07065,0.0,0.0,0.001,1.0,0.0,0.02305875924169564,1.479949852716026,0.7000000000000001,0.011551307344394992,0.2826,0.0025,0.00018738389399300788,0.0,0.0,0.0,0.7999999999999999,-1.4693886062533703,0,
C1,D1 Review-first,DoNothing,Stay,0.0,0.0,0.40108090900390464,0.8167162120052062,0.1373657981836501,0.2413,0.12065,0.0,0.0,0.01315,0.0,0.0,0.013683927803418,1.0259072090849897,0.25,0.049463192734600356,0.4826,0.032875,0.0017780192706058128,0.0,0.0,0.0,0.0,-1.7139259599477052,0,D1 Review-first
C1,D1 Review-first,DoNothing,Resign,0.0,0.0,0.2638749642346616,0.29952495231288223,0.9269483858038672,0.02,0.01,0.0,0.0,0.00065,1.0,0.0,0.025660393598000646,1.6280659954291596,0.25,0.00779354321546828,0.04,0.001625,0.00010640909741394809,0.0,0.0,0.0,0.7999999999999999,-1.7173473320786867,0,D1 Review-first
C1,D1 Review-first,RecommendStrike,Stay,0.5,0.3,0.6805011230422802,1.4793764973897068,0.13784660237042135,0.2719,0.28595,0.0,0.0,0.01295,0.0,0.0,0.013657665446865355,1.0332814919559623,0.25,0.05138640948168536,1.1438,0.032375,0.0018150879080214516,0.0,0.0,0.0,0.0,-1.7260671618660821,0,D1 Review-first
C1,D1 Review-first,RecommendStrike,Resign,0.5,0.3,0.28590150398581765,0.4178436719810903,0.927031314504277,-0.2209,0.03955,0.0,0.0,0.00055,1.0,0.0,0.025619478885170622,1.628322975362262,0.25,0.008125258017107789,0.1582,0.001375,0.00014341396398243422,0.0,0.0,0.0,0.7999999999999999,-1.7224043567013483,0,D1 Review-first
C1,D2 Accountability-lite,DoNothing,Stay,0.0,0.0,1.4529887576324945,1.3238100101766592,0.19037691758555278,0.4135,0.20675,0.0,0.0,0.03265,0.0,0.0,0.011811913084756131,0.8627066823916277,0.35000000000000003,0.061507670342211045,0.827,0.081625,0.0036773398344481707,0.0,0.0,0.7999999999999999,0.0,-1.4346305899714415,0,D1 Review-first
C1,D2 Accountability-lite,DoNothing,Resign,0.0,0.0,1.1737033571704831,0.4585294762273106,0.9775916453044018,0.0474,0.0237,0.0,0.0,0.00125,1.0,0.0,0.02387494991958466,1.4684641145443256,0.35000000000000003,0.010366581217607253,0.0948,0.003125,0.00023789500970337817,0.0,0.0,0.7999999999999999,0.7999999999999999,-1.4336524556731742,0,D1 Review-first
